Sector Number / Name,Column1,Part,Vertical Limits,Column2,Lateral Limits
,,,FL115,,"511837N,0012813W-512624N,0012933W-513706N,0013350W"
,24,1,"FL660
-------
FL305",,"514126N,0020000W-514931N,0013648W-520001N,0011226W-
515111N,0005745W-511308N,0001558W-511027N,0020000W-514126N,0020000W"
L01''DON ACC,,,,,
25,,1,"FL245
----
FL215",,"515336N,0014741W-515300N,0012844W-520000N,0011226W-
515421N,0010257W-514319N,0012837W-513943N,0012646W-
514055N.0013458W-514211N.0013537W-514751N.0014136W-515336N.0014741W"
25,,2,"FL305
----
FL275",,"514751N,0014136W-514211N,0013537W-514055N,0013458W-
513943N,0012646W-513601N,0012453W-513533N,0012103W-
511617N,0012057W-511350N,0012159W-511238N,0013600W-
511527N.0020000W-514126N,0020000W-514751N,0014136W"
25,,3,"FL305
----
FL215",,"514319N,0012837W-515421N,0010257W-515111N,0005745W-
510853N,0001125W-504626N,0004942W-504848N,0005214W-
505   ,080555--51117N0,166  -     10N,0012159W-
51l617N,0012057W-513533N,0012103W-513601N,0012453W-
513943N,0012646W-514319N,0012837W"
25,,4,"FL305
----
FL255",,"504626N,0004942W-510853N,0001125W-505433N,0000716E-503807N,0004049W-
504626N,0004942W"
26,,1,"FL305
------
FL215",,"520000N,0011226W-520603N,0005814W-515859N,0005202W-
515350N,0004538W-514802N,0003828W-515619N,0000748W-514801N,0000008E-
512715N,0003300E -510853N,0001125W-515111N,0005745W-
515421N,0010257W-520000N,0011226W"
26,,2,"FL305
------
FL245",,"515619N,0000748W-520228N,0001524E-512658N,0005532E-512715N,0003300 E-
514801N,0000008E-515619N,0000748W"
26,,3,"FL305
------
FL255",,"512715N,0003300E- 510834N,0003514E-510238N,0004855E-505904N,0000124E-
510853N,001125W-512715N,0003300E"
26,,4,"FL305
----
FL275",,"512715N,0003300E-512704N,0004758E-510105N,0011832E-505842N,0005754E-
5023,    04585-501843,000541E-55N, 71330E"
LONDON ACC,,,,,
27/32,,1,"FL660
-----
FL285",,"525045N,0024528W-531029N,0020557W-531225N,0015844W-
53003N1,0014737W-524149N,0023750W-525045N,0024528W"
27/32,,2,"FL660
------
FL195",,"524149N,0023750W-530031N,0014737W-520603N,0005814W-
520591N,0005956W-521049N,0010650W-521408N,0011020W-
522618N,0012315W-520946N,0020500W-523251N,0023014W-524149N,0023750W"
27/32,,3,"FL660
------
FL215",,"522618N,0012315W-521408N,0011020W-515942N,0015411EW-
520946,002050W-522681N, 012351W"
27/32,,4,"FL660
------
FL225",,"515942N,0015411W-521408N,0011020W-521049N,0010650W-
520591N,0005956W-515300N,0012844W-515336N,0014741W-515942N,0015411W"
27/32,,5,"FL660
------
FL275",,"515336N,0014741W-515300N,0012844W-514930N,0013648W-
51475N1,0014136W-515336N,0014741W"
27/32,,6,"FL305
------
FL245",,"514751N,0014136W-514930N,0013648W-515300N,0012844W-
520519N,0005956W-520603N,0005814W-515859N,0005202W-
514319N,0012837W-513943N,0012646W-514055N,0013458W-
514211N,0013537W-514751N,0014136W"
/       �275,,,,,
