,name,callsign,frequency,boundary,upper_fl,lower_fl,class
0,BARKSTON HEATH ATZ,CRANWELL,000.000,N052.59.46.82 W000.33.37.0/N052.59.46.8 W000.33.33.53/N052.59.46.75 W000.33.30.07/N052.59.46.66 W000.33.26.61/N052.59.46.53 W000.33.23.15/N052.59.46.36 W000.33.19.69/N052.59.46.16 W000.33.16.24/N052.59.45.93 W000.33.12.8/N052.59.45.65 W000.33.9.36/N052.59.45.34 W000.33.5.93/N052.59.45.0 W000.33.2.51/N052.59.44.62 W000.32.59.11/N052.59.44.2 W000.32.55.71/N052.59.43.75 W000.32.52.33/N052.59.43.26 W000.32.48.96/N052.59.42.74 W000.32.45.6/N052.59.42.18 W000.32.42.26/N052.59.41.58 W000.32.38.94/N052.59.40.95 W000.32.35.63/N052.59.40.29 W000.32.32.35/N052.59.39.59 W000.32.29.08/N052.59.38.86 W000.32.25.83/N052.59.38.09 W000.32.22.61/N052.59.37.29 W000.32.19.41/N052.59.36.45 W000.32.16.23/N052.59.35.59 W000.32.13.08/N052.59.34.69 W000.32.9.95/N052.59.33.75 W000.32.6.85/N052.59.32.79 W000.32.3.77/N052.59.31.79 W000.32.0.73/N052.59.30.76 W000.31.57.71/N052.59.29.69 W000.31.54.73/N052.59.28.6 W000.31.51.77/N052.59.27.48 W000.31.48.85/N052.59.26.32 W000.31.45.96/N052.59.25.14 W000.31.43.11/N052.59.23.92 W000.31.40.28/N052.59.22.68 W000.31.37.5/N052.59.21.4 W000.31.34.75/N052.59.20.1 W000.31.32.04/N052.59.18.77 W000.31.29.37/N052.59.17.41 W000.31.26.73/N052.59.16.02 W000.31.24.14/N052.59.14.61 W000.31.21.58/N052.59.13.17 W000.31.19.07/N052.59.11.7 W000.31.16.6/N052.59.10.21 W000.31.14.17/N052.59.8.69 W000.31.11.79/N052.59.7.15 W000.31.9.45/N052.59.5.58 W000.31.7.16/N052.59.3.99 W000.31.4.91/N052.59.2.38 W000.31.2.7/N052.59.0.74 W000.31.0.55/N052.58.59.08 W000.30.58.44/N052.58.57.4 W000.30.56.38/N052.58.55.7 W000.30.54.37/N052.58.53.97 W000.30.52.41/N052.58.52.23 W000.30.50.5/N052.58.50.46 W000.30.48.64/N052.58.48.68 W000.30.46.83/N052.58.46.88 W000.30.45.08/N052.58.45.06 W000.30.43.37/N052.58.43.22 W000.30.41.72/N052.58.41.36 W000.30.40.12/N052.58.39.49 W000.30.38.58/N052.58.37.6 W000.30.37.09/N052.58.35.7 W000.30.35.66/N052.58.33.78 W000.30.34.28/N052.58.31.85 W000.30.32.95/N052.58.29.9 W000.30.31.68/N052.58.27.94 W000.30.30.47/N052.58.25.97 W000.30.29.32/N052.58.23.99 W000.30.28.22/N052.58.21.99 W000.30.27.18/N052.58.19.98 W000.30.26.2/N052.58.17.97 W000.30.25.28/N052.58.15.94 W000.30.24.41/N052.58.13.91 W000.30.23.61/N052.58.11.87 W000.30.22.86/N052.58.9.82 W000.30.22.17/N052.58.7.76 W000.30.21.54/N052.58.5.7 W000.30.20.97/N052.58.3.63 W000.30.20.47/N052.58.1.56 W000.30.20.02/N052.57.59.48 W000.30.19.63/N052.57.57.4 W000.30.19.3/N052.57.55.31 W000.30.19.03/N052.57.53.23 W000.30.18.82/N052.57.51.14 W000.30.18.67/N052.57.49.05 W000.30.18.58/N052.57.46.95 W000.30.18.56/N052.57.44.86 W000.30.18.59/N052.57.42.77 W000.30.18.68/N052.57.40.68 W000.30.18.84/N052.57.38.6 W000.30.19.05/N052.57.36.51 W000.30.19.32/N052.57.34.43 W000.30.19.66/N052.57.32.35 W000.30.20.05/N052.57.30.28 W000.30.20.51/N052.57.28.21 W000.30.21.02/N052.57.26.15 W000.30.21.6/N052.57.24.09 W000.30.22.23/N052.57.22.04 W000.30.22.92/N052.57.20.0 W000.30.23.67/N052.57.17.97 W000.30.24.49/N052.57.15.94 W000.30.25.36/N052.57.13.93 W000.30.26.28/N052.57.11.93 W000.30.27.27/N052.57.9.93 W000.30.28.31/N052.57.7.95 W000.30.29.41/N052.57.5.98 W000.30.30.57/N052.57.4.02 W000.30.31.79/N052.57.2.07 W000.30.33.06/N052.57.0.14 W000.30.34.39/N052.56.58.23 W000.30.35.77/N052.56.56.32 W000.30.37.21/N052.56.54.44 W000.30.38.7/N052.56.52.57 W000.30.40.25/N052.56.50.71 W000.30.41.85/N052.56.48.87 W000.30.43.5/N052.56.47.05 W000.30.45.21/N052.56.45.25 W000.30.46.97/N052.56.43.47 W000.30.48.78/N052.56.41.71 W000.30.50.64/N052.56.39.96 W000.30.52.55/N052.56.38.24 W000.30.54.52/N052.56.36.54 W000.30.56.53/N052.56.34.86 W000.30.58.59/N052.56.33.2 W000.31.0.7/N052.56.31.57 W000.31.2.85/N052.56.29.95 W000.31.5.06/N052.56.28.36 W000.31.7.31/N052.56.26.8 W000.31.9.6/N052.56.25.26 W000.31.11.94/N052.56.23.74 W000.31.14.33/N052.56.22.25 W000.31.16.75/N052.56.20.79 W000.31.19.22/N052.56.19.35 W000.31.21.74/N052.56.17.93 W000.31.24.29/N052.56.16.55 W000.31.26.88/N052.56.15.19 W000.31.29.52/N052.56.13.86 W000.31.32.19/N052.56.12.56 W000.31.34.9/N052.56.11.29 W000.31.37.65/N052.56.10.05 W000.31.40.43/N052.56.8.83 W000.31.43.25/N052.56.7.65 W000.31.46.1/N052.56.6.5 W000.31.48.99/N052.56.5.37 W000.31.51.91/N052.56.4.28 W000.31.54.86/N052.56.3.22 W000.31.57.84/N052.56.2.19 W000.32.0.86/N052.56.1.19 W000.32.3.9/N052.56.0.23 W000.32.6.97/N052.55.59.3 W000.32.10.07/N052.55.58.4 W000.32.13.19/N052.55.57.53 W000.32.16.34/N052.55.56.7 W000.32.19.52/N052.55.55.9 W000.32.22.71/N052.55.55.13 W000.32.25.93/N052.55.54.4 W000.32.29.18/N052.55.53.7 W000.32.32.44/N052.55.53.04 W000.32.35.72/N052.55.52.41 W000.32.39.02/N052.55.51.82 W000.32.42.34/N052.55.51.26 W000.32.45.68/N052.55.50.73 W000.32.49.03/N052.55.50.25 W000.32.52.39/N052.55.49.79 W000.32.55.77/N052.55.49.38 W000.32.59.16/N052.55.49.0 W000.33.2.57/N052.55.48.65 W000.33.5.98/N052.55.48.34 W000.33.9.4/N052.55.48.07 W000.33.12.83/N052.55.47.83 W000.33.16.27/N052.55.47.63 W000.33.19.72/N052.55.47.47 W000.33.23.17/N052.55.47.34 W000.33.26.62/N052.55.47.25 W000.33.30.08/N052.55.47.2 W000.33.33.54/N052.55.47.18 W000.33.37.0/N052.55.47.2 W000.33.40.46/N052.55.47.25 W000.33.43.92/N052.55.47.34 W000.33.47.38/N052.55.47.47 W000.33.50.83/N052.55.47.63 W000.33.54.28/N052.55.47.83 W000.33.57.73/N052.55.48.07 W000.34.1.17/N052.55.48.34 W000.34.4.6/N052.55.48.65 W000.34.8.02/N052.55.49.0 W000.34.11.43/N052.55.49.38 W000.34.14.84/N052.55.49.79 W000.34.18.23/N052.55.50.25 W000.34.21.61/N052.55.50.73 W000.34.24.97/N052.55.51.26 W000.34.28.32/N052.55.51.82 W000.34.31.66/N052.55.52.41 W000.34.34.98/N052.55.53.04 W000.34.38.28/N052.55.53.7 W000.34.41.56/N052.55.54.4 W000.34.44.82/N052.55.55.13 W000.34.48.07/N052.55.55.9 W000.34.51.29/N052.55.56.7 W000.34.54.48/N052.55.57.53 W000.34.57.66/N052.55.58.4 W000.35.0.81/N052.55.59.3 W000.35.3.93/N052.56.0.23 W000.35.7.03/N052.56.1.19 W000.35.10.1/N052.56.2.19 W000.35.13.14/N052.56.3.22 W000.35.16.16/N052.56.4.28 W000.35.19.14/N052.56.5.37 W000.35.22.09/N052.56.6.5 W000.35.25.01/N052.56.7.65 W000.35.27.9/N052.56.8.83 W000.35.30.75/N052.56.10.05 W000.35.33.57/N052.56.11.29 W000.35.36.35/N052.56.12.56 W000.35.39.1/N052.56.13.86 W000.35.41.81/N052.56.15.19 W000.35.44.48/N052.56.16.55 W000.35.47.12/N052.56.17.93 W000.35.49.71/N052.56.19.35 W000.35.52.26/N052.56.20.79 W000.35.54.78/N052.56.22.25 W000.35.57.25/N052.56.23.74 W000.35.59.67/N052.56.25.26 W000.36.2.06/N052.56.26.8 W000.36.4.4/N052.56.28.36 W000.36.6.69/N052.56.29.95 W000.36.8.94/N052.56.31.57 W000.36.11.15/N052.56.33.2 W000.36.13.3/N052.56.34.86 W000.36.15.41/N052.56.36.54 W000.36.17.47/N052.56.38.24 W000.36.19.48/N052.56.39.96 W000.36.21.45/N052.56.41.71 W000.36.23.36/N052.56.43.47 W000.36.25.22/N052.56.45.25 W000.36.27.03/N052.56.47.05 W000.36.28.79/N052.56.48.87 W000.36.30.5/N052.56.50.71 W000.36.32.15/N052.56.52.57 W000.36.33.75/N052.56.54.44 W000.36.35.3/N052.56.56.32 W000.36.36.79/N052.56.58.23 W000.36.38.23/N052.57.0.14 W000.36.39.61/N052.57.2.07 W000.36.40.94/N052.57.4.02 W000.36.42.21/N052.57.5.98 W000.36.43.43/N052.57.7.95 W000.36.44.59/N052.57.9.93 W000.36.45.69/N052.57.11.93 W000.36.46.73/N052.57.13.93 W000.36.47.72/N052.57.15.94 W000.36.48.64/N052.57.17.97 W000.36.49.51/N052.57.20.0 W000.36.50.33/N052.57.22.04 W000.36.51.08/N052.57.24.09 W000.36.51.77/N052.57.26.15 W000.36.52.4/N052.57.28.21 W000.36.52.98/N052.57.30.28 W000.36.53.49/N052.57.32.35 W000.36.53.95/N052.57.34.43 W000.36.54.34/N052.57.36.51 W000.36.54.68/N052.57.38.6 W000.36.54.95/N052.57.40.68 W000.36.55.16/N052.57.42.77 W000.36.55.32/N052.57.44.86 W000.36.55.41/N052.57.46.95 W000.36.55.44/N052.57.49.05 W000.36.55.42/N052.57.51.14 W000.36.55.33/N052.57.53.23 W000.36.55.18/N052.57.55.31 W000.36.54.97/N052.57.57.4 W000.36.54.7/N052.57.59.48 W000.36.54.37/N052.58.1.56 W000.36.53.98/N052.58.3.63 W000.36.53.53/N052.58.5.7 W000.36.53.03/N052.58.7.76 W000.36.52.46/N052.58.9.82 W000.36.51.83/N052.58.11.87 W000.36.51.14/N052.58.13.91 W000.36.50.39/N052.58.15.94 W000.36.49.59/N052.58.17.97 W000.36.48.72/N052.58.19.98 W000.36.47.8/N052.58.21.99 W000.36.46.82/N052.58.23.99 W000.36.45.78/N052.58.25.97 W000.36.44.68/N052.58.27.94 W000.36.43.53/N052.58.29.9 W000.36.42.32/N052.58.31.85 W000.36.41.05/N052.58.33.78 W000.36.39.72/N052.58.35.7 W000.36.38.34/N052.58.37.6 W000.36.36.91/N052.58.39.49 W000.36.35.42/N052.58.41.36 W000.36.33.88/N052.58.43.22 W000.36.32.28/N052.58.45.06 W000.36.30.63/N052.58.46.88 W000.36.28.92/N052.58.48.68 W000.36.27.17/N052.58.50.46 W000.36.25.36/N052.58.52.23 W000.36.23.5/N052.58.53.97 W000.36.21.59/N052.58.55.7 W000.36.19.63/N052.58.57.4 W000.36.17.62/N052.58.59.08 W000.36.15.56/N052.59.0.74 W000.36.13.45/N052.59.2.38 W000.36.11.3/N052.59.3.99 W000.36.9.09/N052.59.5.58 W000.36.6.84/N052.59.7.15 W000.36.4.55/N052.59.8.69 W000.36.2.21/N052.59.10.21 W000.35.59.83/N052.59.11.7 W000.35.57.4/N052.59.13.17 W000.35.54.93/N052.59.14.61 W000.35.52.42/N052.59.16.02 W000.35.49.86/N052.59.17.41 W000.35.47.27/N052.59.18.77 W000.35.44.63/N052.59.20.1 W000.35.41.96/N052.59.21.4 W000.35.39.25/N052.59.22.68 W000.35.36.5/N052.59.23.92 W000.35.33.72/N052.59.25.14 W000.35.30.89/N052.59.26.32 W000.35.28.04/N052.59.27.48 W000.35.25.15/N052.59.28.6 W000.35.22.23/N052.59.29.69 W000.35.19.27/N052.59.30.76 W000.35.16.29/N052.59.31.79 W000.35.13.27/N052.59.32.79 W000.35.10.23/N052.59.33.75 W000.35.7.15/N052.59.34.69 W000.35.4.05/N052.59.35.59 W000.35.0.92/N052.59.36.45 W000.34.57.77/N052.59.37.29 W000.34.54.59/N052.59.38.09 W000.34.51.39/N052.59.38.86 W000.34.48.17/N052.59.39.59 W000.34.44.92/N052.59.40.29 W000.34.41.65/N052.59.40.95 W000.34.38.37/N052.59.41.58 W000.34.35.06/N052.59.42.18 W000.34.31.74/N052.59.42.74 W000.34.28.4/N052.59.43.26 W000.34.25.04/N052.59.43.75 W000.34.21.67/N052.59.44.2 W000.34.18.29/N052.59.44.62 W000.34.14.89/N052.59.45.0 W000.34.11.49/N052.59.45.34 W000.34.8.07/N052.59.45.65 W000.34.4.64/N052.59.45.93 W000.34.1.2/N052.59.46.16 W000.33.57.76/N052.59.46.36 W000.33.54.31/N052.59.46.53 W000.33.50.85/N052.59.46.66 W000.33.47.39/N052.59.46.75 W000.33.43.93,2000,SFC,G
1,BENSON ATZ,BENSON,124.450,N051.38.53.85 W001.05.45.0/N051.38.53.83 W001.05.41.64/N051.38.53.78 W001.05.38.28/N051.38.53.68 W001.05.34.92/N051.38.53.56 W001.05.31.56/N051.38.53.39 W001.05.28.21/N051.38.53.19 W001.05.24.86/N051.38.52.95 W001.05.21.52/N051.38.52.68 W001.05.18.19/N051.38.52.37 W001.05.14.86/N051.38.52.03 W001.05.11.55/N051.38.51.65 W001.05.8.24/N051.38.51.23 W001.05.4.95/N051.38.50.77 W001.05.1.66/N051.38.50.29 W001.04.58.39/N051.38.49.76 W001.04.55.14/N051.38.49.2 W001.04.51.9/N051.38.48.61 W001.04.48.68/N051.38.47.98 W001.04.45.47/N051.38.47.31 W001.04.42.28/N051.38.46.62 W001.04.39.11/N051.38.45.88 W001.04.35.96/N051.38.45.12 W001.04.32.84/N051.38.44.31 W001.04.29.73/N051.38.43.48 W001.04.26.65/N051.38.42.61 W001.04.23.59/N051.38.41.71 W001.04.20.55/N051.38.40.78 W001.04.17.54/N051.38.39.81 W001.04.14.56/N051.38.38.81 W001.04.11.61/N051.38.37.78 W001.04.8.68/N051.38.36.72 W001.04.5.79/N051.38.35.63 W001.04.2.92/N051.38.34.5 W001.04.0.09/N051.38.33.35 W001.03.57.28/N051.38.32.16 W001.03.54.51/N051.38.30.94 W001.03.51.78/N051.38.29.7 W001.03.49.08/N051.38.28.43 W001.03.46.41/N051.38.27.12 W001.03.43.78/N051.38.25.79 W001.03.41.19/N051.38.24.43 W001.03.38.63/N051.38.23.05 W001.03.36.11/N051.38.21.63 W001.03.33.64/N051.38.20.19 W001.03.31.2/N051.38.18.72 W001.03.28.8/N051.38.17.23 W001.03.26.45/N051.38.15.71 W001.03.24.14/N051.38.14.17 W001.03.21.87/N051.38.12.6 W001.03.19.64/N051.38.11.01 W001.03.17.46/N051.38.9.4 W001.03.15.32/N051.38.7.76 W001.03.13.23/N051.38.6.1 W001.03.11.19/N051.38.4.42 W001.03.9.19/N051.38.2.71 W001.03.7.24/N051.38.0.99 W001.03.5.34/N051.37.59.24 W001.03.3.48/N051.37.57.48 W001.03.1.68/N051.37.55.69 W001.02.59.92/N051.37.53.89 W001.02.58.22/N051.37.52.07 W001.02.56.57/N051.37.50.23 W001.02.54.96/N051.37.48.38 W001.02.53.41/N051.37.46.5 W001.02.51.92/N051.37.44.61 W001.02.50.47/N051.37.42.71 W001.02.49.08/N051.37.40.79 W001.02.47.74/N051.37.38.86 W001.02.46.46/N051.37.36.91 W001.02.45.23/N051.37.34.95 W001.02.44.05/N051.37.32.98 W001.02.42.93/N051.37.31.0 W001.02.41.87/N051.37.29.0 W001.02.40.86/N051.37.26.99 W001.02.39.91/N051.37.24.98 W001.02.39.01/N051.37.22.95 W001.02.38.17/N051.37.20.92 W001.02.37.39/N051.37.18.88 W001.02.36.67/N051.37.16.83 W001.02.36.0/N051.37.14.77 W001.02.35.39/N051.37.12.71 W001.02.34.84/N051.37.10.64 W001.02.34.34/N051.37.8.56 W001.02.33.91/N051.37.6.48 W001.02.33.53/N051.37.4.4 W001.02.33.21/N051.37.2.32 W001.02.32.95/N051.37.0.23 W001.02.32.75/N051.36.58.14 W001.02.32.6/N051.36.56.05 W001.02.32.52/N051.36.53.96 W001.02.32.49/N051.36.51.86 W001.02.32.52/N051.36.49.77 W001.02.32.61/N051.36.47.68 W001.02.32.76/N051.36.45.6 W001.02.32.97/N051.36.43.51 W001.02.33.23/N051.36.41.43 W001.02.33.56/N051.36.39.35 W001.02.33.94/N051.36.37.28 W001.02.34.38/N051.36.35.21 W001.02.34.88/N051.36.33.15 W001.02.35.44/N051.36.31.09 W001.02.36.05/N051.36.29.04 W001.02.36.72/N051.36.27.0 W001.02.37.45/N051.36.24.96 W001.02.38.24/N051.36.22.94 W001.02.39.08/N051.36.20.92 W001.02.39.98/N051.36.18.92 W001.02.40.94/N051.36.16.92 W001.02.41.95/N051.36.14.94 W001.02.43.02/N051.36.12.97 W001.02.44.14/N051.36.11.01 W001.02.45.32/N051.36.9.07 W001.02.46.56/N051.36.7.13 W001.02.47.84/N051.36.5.22 W001.02.49.18/N051.36.3.31 W001.02.50.58/N051.36.1.43 W001.02.52.03/N051.35.59.55 W001.02.53.53/N051.35.57.7 W001.02.55.08/N051.35.55.86 W001.02.56.69/N051.35.54.04 W001.02.58.34/N051.35.52.24 W001.03.0.05/N051.35.50.46 W001.03.1.8/N051.35.48.69 W001.03.3.61/N051.35.46.95 W001.03.5.47/N051.35.45.23 W001.03.7.37/N051.35.43.53 W001.03.9.32/N051.35.41.85 W001.03.11.32/N051.35.40.19 W001.03.13.37/N051.35.38.55 W001.03.15.46/N051.35.36.94 W001.03.17.6/N051.35.35.35 W001.03.19.78/N051.35.33.78 W001.03.22.01/N051.35.32.24 W001.03.24.28/N051.35.30.72 W001.03.26.59/N051.35.29.23 W001.03.28.94/N051.35.27.77 W001.03.31.34/N051.35.26.33 W001.03.33.78/N051.35.24.92 W001.03.36.25/N051.35.23.53 W001.03.38.77/N051.35.22.17 W001.03.41.33/N051.35.20.84 W001.03.43.92/N051.35.19.54 W001.03.46.55/N051.35.18.27 W001.03.49.21/N051.35.17.02 W001.03.51.91/N051.35.15.81 W001.03.54.65/N051.35.14.63 W001.03.57.41/N051.35.13.47 W001.04.0.22/N051.35.12.35 W001.04.3.05/N051.35.11.26 W001.04.5.91/N051.35.10.2 W001.04.8.81/N051.35.9.17 W001.04.11.73/N051.35.8.17 W001.04.14.68/N051.35.7.2 W001.04.17.66/N051.35.6.27 W001.04.20.66/N051.35.5.37 W001.04.23.7/N051.35.4.5 W001.04.26.75/N051.35.3.67 W001.04.29.83/N051.35.2.87 W001.04.32.93/N051.35.2.11 W001.04.36.06/N051.35.1.37 W001.04.39.2/N051.35.0.68 W001.04.42.37/N051.35.0.01 W001.04.45.55/N051.34.59.38 W001.04.48.75/N051.34.58.79 W001.04.51.97/N051.34.58.23 W001.04.55.21/N051.34.57.71 W001.04.58.46/N051.34.57.22 W001.05.1.73/N051.34.56.77 W001.05.5.0/N051.34.56.35 W001.05.8.29/N051.34.55.97 W001.05.11.59/N051.34.55.63 W001.05.14.91/N051.34.55.32 W001.05.18.23/N051.34.55.04 W001.05.21.56/N051.34.54.81 W001.05.24.89/N051.34.54.61 W001.05.28.23/N051.34.54.44 W001.05.31.58/N051.34.54.31 W001.05.34.93/N051.34.54.22 W001.05.38.29/N051.34.54.17 W001.05.41.64/N051.34.54.15 W001.05.45.0/N051.34.54.17 W001.05.48.36/N051.34.54.22 W001.05.51.71/N051.34.54.31 W001.05.55.07/N051.34.54.44 W001.05.58.42/N051.34.54.61 W001.06.1.77/N051.34.54.81 W001.06.5.11/N051.34.55.04 W001.06.8.44/N051.34.55.32 W001.06.11.77/N051.34.55.63 W001.06.15.09/N051.34.55.97 W001.06.18.41/N051.34.56.35 W001.06.21.71/N051.34.56.77 W001.06.25.0/N051.34.57.22 W001.06.28.27/N051.34.57.71 W001.06.31.54/N051.34.58.23 W001.06.34.79/N051.34.58.79 W001.06.38.03/N051.34.59.38 W001.06.41.25/N051.35.0.01 W001.06.44.45/N051.35.0.68 W001.06.47.63/N051.35.1.37 W001.06.50.8/N051.35.2.11 W001.06.53.94/N051.35.2.87 W001.06.57.07/N051.35.3.67 W001.07.0.17/N051.35.4.5 W001.07.3.25/N051.35.5.37 W001.07.6.3/N051.35.6.27 W001.07.9.34/N051.35.7.2 W001.07.12.34/N051.35.8.17 W001.07.15.32/N051.35.9.17 W001.07.18.27/N051.35.10.2 W001.07.21.19/N051.35.11.26 W001.07.24.09/N051.35.12.35 W001.07.26.95/N051.35.13.47 W001.07.29.78/N051.35.14.63 W001.07.32.59/N051.35.15.81 W001.07.35.35/N051.35.17.02 W001.07.38.09/N051.35.18.27 W001.07.40.79/N051.35.19.54 W001.07.43.45/N051.35.20.84 W001.07.46.08/N051.35.22.17 W001.07.48.67/N051.35.23.53 W001.07.51.23/N051.35.24.92 W001.07.53.75/N051.35.26.33 W001.07.56.22/N051.35.27.77 W001.07.58.66/N051.35.29.23 W001.08.1.06/N051.35.30.72 W001.08.3.41/N051.35.32.24 W001.08.5.72/N051.35.33.78 W001.08.7.99/N051.35.35.35 W001.08.10.22/N051.35.36.94 W001.08.12.4/N051.35.38.55 W001.08.14.54/N051.35.40.19 W001.08.16.63/N051.35.41.85 W001.08.18.68/N051.35.43.53 W001.08.20.68/N051.35.45.23 W001.08.22.63/N051.35.46.95 W001.08.24.53/N051.35.48.69 W001.08.26.39/N051.35.50.46 W001.08.28.2/N051.35.52.24 W001.08.29.95/N051.35.54.04 W001.08.31.66/N051.35.55.86 W001.08.33.31/N051.35.57.7 W001.08.34.92/N051.35.59.55 W001.08.36.47/N051.36.1.43 W001.08.37.97/N051.36.3.31 W001.08.39.42/N051.36.5.22 W001.08.40.82/N051.36.7.13 W001.08.42.16/N051.36.9.07 W001.08.43.44/N051.36.11.01 W001.08.44.68/N051.36.12.97 W001.08.45.86/N051.36.14.94 W001.08.46.98/N051.36.16.92 W001.08.48.05/N051.36.18.92 W001.08.49.06/N051.36.20.92 W001.08.50.02/N051.36.22.94 W001.08.50.92/N051.36.24.96 W001.08.51.76/N051.36.27.0 W001.08.52.55/N051.36.29.04 W001.08.53.28/N051.36.31.09 W001.08.53.95/N051.36.33.15 W001.08.54.56/N051.36.35.21 W001.08.55.12/N051.36.37.28 W001.08.55.62/N051.36.39.35 W001.08.56.06/N051.36.41.43 W001.08.56.44/N051.36.43.51 W001.08.56.77/N051.36.45.6 W001.08.57.03/N051.36.47.68 W001.08.57.24/N051.36.49.77 W001.08.57.39/N051.36.51.86 W001.08.57.48/N051.36.53.96 W001.08.57.51/N051.36.56.05 W001.08.57.48/N051.36.58.14 W001.08.57.4/N051.37.0.23 W001.08.57.25/N051.37.2.32 W001.08.57.05/N051.37.4.4 W001.08.56.79/N051.37.6.48 W001.08.56.47/N051.37.8.56 W001.08.56.09/N051.37.10.64 W001.08.55.66/N051.37.12.71 W001.08.55.16/N051.37.14.77 W001.08.54.61/N051.37.16.83 W001.08.54.0/N051.37.18.88 W001.08.53.33/N051.37.20.92 W001.08.52.61/N051.37.22.95 W001.08.51.83/N051.37.24.98 W001.08.50.99/N051.37.26.99 W001.08.50.09/N051.37.29.0 W001.08.49.14/N051.37.31.0 W001.08.48.13/N051.37.32.98 W001.08.47.07/N051.37.34.95 W001.08.45.95/N051.37.36.91 W001.08.44.77/N051.37.38.86 W001.08.43.54/N051.37.40.79 W001.08.42.26/N051.37.42.71 W001.08.40.92/N051.37.44.61 W001.08.39.53/N051.37.46.5 W001.08.38.08/N051.37.48.38 W001.08.36.59/N051.37.50.23 W001.08.35.04/N051.37.52.07 W001.08.33.43/N051.37.53.89 W001.08.31.78/N051.37.55.69 W001.08.30.08/N051.37.57.48 W001.08.28.32/N051.37.59.24 W001.08.26.52/N051.38.0.99 W001.08.24.66/N051.38.2.71 W001.08.22.76/N051.38.4.42 W001.08.20.81/N051.38.6.1 W001.08.18.81/N051.38.7.76 W001.08.16.77/N051.38.9.4 W001.08.14.68/N051.38.11.01 W001.08.12.54/N051.38.12.6 W001.08.10.36/N051.38.14.17 W001.08.8.13/N051.38.15.71 W001.08.5.86/N051.38.17.23 W001.08.3.55/N051.38.18.72 W001.08.1.2/N051.38.20.19 W001.07.58.8/N051.38.21.63 W001.07.56.36/N051.38.23.05 W001.07.53.89/N051.38.24.43 W001.07.51.37/N051.38.25.79 W001.07.48.81/N051.38.27.12 W001.07.46.22/N051.38.28.43 W001.07.43.59/N051.38.29.7 W001.07.40.92/N051.38.30.94 W001.07.38.22/N051.38.32.16 W001.07.35.49/N051.38.33.35 W001.07.32.72/N051.38.34.5 W001.07.29.91/N051.38.35.63 W001.07.27.08/N051.38.36.72 W001.07.24.21/N051.38.37.78 W001.07.21.32/N051.38.38.81 W001.07.18.39/N051.38.39.81 W001.07.15.44/N051.38.40.78 W001.07.12.46/N051.38.41.71 W001.07.9.45/N051.38.42.61 W001.07.6.41/N051.38.43.48 W001.07.3.35/N051.38.44.31 W001.07.0.27/N051.38.45.12 W001.06.57.16/N051.38.45.88 W001.06.54.04/N051.38.46.62 W001.06.50.89/N051.38.47.31 W001.06.47.72/N051.38.47.98 W001.06.44.53/N051.38.48.61 W001.06.41.32/N051.38.49.2 W001.06.38.1/N051.38.49.76 W001.06.34.86/N051.38.50.29 W001.06.31.61/N051.38.50.77 W001.06.28.34/N051.38.51.23 W001.06.25.05/N051.38.51.65 W001.06.21.76/N051.38.52.03 W001.06.18.45/N051.38.52.37 W001.06.15.14/N051.38.52.68 W001.06.11.81/N051.38.52.95 W001.06.8.48/N051.38.53.19 W001.06.5.14/N051.38.53.39 W001.06.1.79/N051.38.53.56 W001.05.58.44/N051.38.53.68 W001.05.55.08/N051.38.53.78 W001.05.51.72,2000,SFC,G
