,name,boundary
14,SCOTTISH AC (PRESTWICK),N55.00.00.00 W001.30.16.00/N55.00.00.00 W001.55.00.00/N54.54.24.00 W002.24.10.00/N55.12.28.00 W002.30.22.00/N55.21.09.00 W002.21.39.00/N55.38.05.00 W002.51.11.00/N56.00.08.00 W002.48.49.00/N56.07.00.00 W002.56.08.00/N56.07.00.00 W003.29.38.00/N56.02.22.00 W004.05.18.00/N56.07.00.00 W004.09.10.00/N56.14.00.00 W004.09.26.00/N56.17.45.00 W004.08.30.00/N57.21.31.00 W003.52.13.00
15,SCOTTISH AC (PRESTWICK) MONTROSE 1,N57.15.04.00 W005.36.33.00/N57.14.40.00 W004.28.16.00/N57.23.37.00 W004.14.04.00/N57.11.26.00 W002.14.09.00/N57.09.52.00 W001.53.47.00/N56.14.44.00 W001.33.08.00/N55.27.00.00 W001.10.23.00/N54.01.39.00 E000.27.20.00/N54.01.47.00 W001.35.15.00/N54.11.55.00 W001.45.43.00/N54.15.00.00 W001.48.56.00/N54.33.24.00 W001.56.29.00/N54.42.52.00 W002.00.24.00/N55.11.13.00 W002.13.01.00/N55.27.00.00 W002.26.27.00/N55.53.35.00 W002.49.31.00/N56.18.37.00 W003.34.06.00/N56.16.00.00 W005.05.20.00/N57.15.04.00 W005.36.33.00/N55.27.00.00 W002.26.27.00/N55.27.00.00 W001.10.23.00
16,SCOTTISH AC (PRESTWICK) TYNE 1,N57.09.52.00 W001.53.47.00/N56.25.02.00 E005.00.00.00/N55.30.00.00 E005.00.00.00/N55.25.36.00 E003.42.59.00/N55.23.06.00 E000.22.28.00/N55.05.16.00 W001.00.20.00/N56.14.44.00 W001.33.08.00/N57.09.52.00 W001.53.47.00
17,SCOTTISH AC (PRESTWICK),N55.05.16.00 W001.00.20.00/N55.23.06.00 E000.22.28.00/N55.25.36.00 E003.42.59.00/N55.30.00.00 E005.00.00.00/N54.30.00.00 E004.32.09.00/N53.10.29.00 E003.21.58.00/N53.14.41.00 E003.11.02.00/N53.18.13.00 E002.44.00.00/N53.23.02.00 E002.40.06.00/N53.29.30.00 E001.25.25.00/N54.01.39.00 E000.27.20.00/N55.05.16.00 W001.00.20.00
18,SCOTTISH AC (PRESTWICK) DEANCROSS NORTH 1,N56.16.00.00 W005.05.20.00/N56.18.37.00 W003.34.06.00/N55.53.35.00 W002.49.31.00/N55.27.00.00 W002.26.27.00/N55.11.13.00 W002.13.01.00/N55.00.00.00 W002.07.29.00/N55.00.00.00 W003.28.11.00/N55.31.21.00 W003.58.09.00/N55.47.00.00 W005.30.41.00/N56.16.00.00 W005.05.20.00/N55.47.00.00 W005.30.41.00/N55.31.21.00 W003.58.09.00/N55.00.00.00 W003.28.11.00/N55.00.00.00 W002.07.29.00/N54.15.00.00 W001.48.56.00/N54.01.47.00 W001.35.15.00/N54.00.43.00 W002.27.44.00/N54.15.00.00 W002.39.48.00/N54.15.01.00 W003.33.10.00/N54.20.27.00 W003.34.04.00/N55.05.40.00 W004.58.34.00/N55.34.19.00 W005.41.33.00/N55.47.00.00 W005.30.41.00/N54.30.00.00 W002.52.33.00/N56.35.06.00 W010.00.00.00/N55.56.07.00 W005.22.48.00/N55.34.19.00 W005.41.33.00
19,SCOTTISH AC (PRESTWICK),N55.09.48.00 W005.04.41.00/N54.55.35.00 W005.17.06.00/N54.38.26.00 W005.43.07.00/N54.03.19.00 W006.12.12.00/N54.25.00.00 W008.10.00.00/N54.43.09.00 W010.00.00.00/N56.35.06.00 W010.00.00.00/N57.20.00.00 W010.00.00.00/N56.09.31.00 W005.11.04.00
20,SCOTTISH AC (PRESTWICK) RATHLIN WEST 1,N55.09.48.00 W005.04.41.00/N55.05.40.00 W004.58.34.00/N54.20.27.00 W003.34.04.00
21,SCOTTISH AC (PRESTWICK) RATHLIN EAST 1,N53.41.25.00 W003.27.34.00/N53.41.50.00 W003.36.49.00/N53.54.39.00 W004.07.37.00/N53.46.17.00 W004.31.12.00/N53.48.17.00 W005.30.00.00/N53.55.00.00 W005.30.00.00/N54.03.19.00 W006.12.12.00/N54.38.26.00 W005.43.07.00/N54.55.35.00 W005.17.06.00/N55.09.48.00 W005.04.41.00/N59.20.00.00 W010.00.00.00/N58.53.14.00 W008.15.58.00/N58.01.37.00 W006.29.19.00
22,SCOTTISH AC (PRESTWICK),N57.15.04.00 W005.36.33.00/N56.16.00.00 W005.05.20.00/N55.56.07.00 W005.22.48.00/N56.35.06.00 W010.00.00.00/N59.20.00.00 W010.00.00.00/N58.40.00.00 W010.00.00.00/N57.02.05.00 W005.29.32.00/N56.09.31.00 W005.11.04.00/N57.20.00.00 W010.00.00.00
23,SCOTTISH AC (PRESTWICK),N61.00.00.00 W010.00.00.00/N61.00.00.00 W007.00.00.00/N61.00.00.00 W005.30.00.00/N59.16.38.00 W004.30.00.00/N58.01.49.00 W004.17.00.00/N57.45.46.00 W004.32.04.00/N57.45.11.00 W004.23.39.00/N59.20.00.00 W010.00.00.00/N60.30.00.00 W010.00.00.00/N61.00.00.00 W010.00.00.00
24,SCOTTISH AC (PRESTWICK) HEBRIDES HIGH 1,N61.00.00.00 W010.00.00.00/N61.00.00.00 W007.00.00.00/N61.00.00.00 W005.30.00.00/N59.16.38.00 W004.30.00.00/N57.31.47.00 W004.12.03.00/N57.14.40.00 W004.28.16.00/N57.15.04.00 W005.36.33.00/N58.53.14.00 W008.15.58.00/N59.20.00.00 W010.00.00.00/N60.30.00.00 W010.00.00.00/N61.00.00.00 W010.00.00.00/N58.40.00.00 W010.00.00.00/N57.02.05.00 W005.29.32.00
25,SCOTTISH AC (PRESTWICK),N61.00.00.00 W005.30.00.00/N60.00.00.00 E000.00.00.00/N57.00.00.00 E005.00.00.00/N56.25.02.00 E005.00.00.00/N56.36.04.00 E003.36.32.00/N57.11.26.00 W002.14.09.00/N57.11.45.00 W002.18.15.00/N57.13.28.00 W002.34.00.00/N57.23.37.00 W004.14.04.00/N57.31.47.00 W004.12.03.00/N57.45.46.00 W004.32.04.00/N58.01.49.00 W004.17.00.00/N59.16.38.00 W004.30.00.00/N61.00.00.00 W005.30.00.00
26,SCOTTISH AC (PRESTWICK) MORAY HIGH 1,N61.00.00.00 W005.30.00.00/N61.00.00.00 E000.00.00.00/N60.00.00.00 E000.00.00.00/N57.20.00.00 E004.29.58.00/N57.00.00.00 E005.00.00.00/N56.25.02.00 E005.00.00.00/N56.36.04.00 E003.36.32.00/N57.11.26.00 W002.14.09.00/N57.23.37.00 W004.14.04.00/N57.31.47.00 W004.12.03.00/N59.16.38.00 W004.30.00.00/N61.00.00.00 W005.30.00.00/N54.50.30.00 W006.24.42.00/N54.54.18.00 W005.30.00.00/N54.57.15.00 W005.15.30.00/N55.07.50.00 W005.06.23.00/N55.03.28.00 W004.50.44.00/N55.10.01.00 W004.44.59.00
27,SCOTTISH AC (PRESTWICK),N55.06.03.00 W004.14.19.00/N54.32.42.00 W003.30.01.00/N54.10.50.00 W004.17.41.00/N54.00.00.00 W004.40.46.00/N53.55.15.00 W004.52.34.00/N53.47.42.00 W005.11.11.00/N53.48.17.00 W005.30.00.00/N53.55.00.00 W005.30.00.00/N54.05.43.00 W006.24.38.00/N54.27.53.00 W006.23.06.00/N54.35.10.00 W006.34.02.00/N54.50.30.00 W006.24.42.00
28,SCOTTISH AC (PRESTWICK),N54.15.05.00 W003.05.04.00/N54.15.00.00 W002.39.48.00/N54.15.00.00 W002.33.26.00/N54.15.00.00 W002.18.43.00/N54.15.00.00 W002.10.00.00/N53.28.04.00 W001.38.56.00/N53.21.24.00 W001.32.05.00/N53.23.56.00 W001.59.55.00/N53.21.25.00 W002.15.44.00/N53.39.11.00 W002.39.53.00/N35.39.18.00 W002.39.00.00/N54.15.05.00 W003.05.04.00
29,SCOTTISH AC (PRESTWICK) NORTH 1,N54.43.01.00 W002.00.27.00/N55.00.00.00 W001.55.06.00
30,SCOTTISH AC (PRESTWICK),N55.00.00.00 W001.30.22.00/N54.11.53.00 W001.45.49.00/N54.01.47.00 W001.35.15.00/N54.01.47.00 W000.39.28.00/N45.01.45.00 W000.18.52.00/N54.01.45.00 E000.06.02.00/N53.35.39.00 E000.27.56.00/N53.32.30.00 E000.50.44.00/N53.28.56.00 E000.57.08.00/N52.53.25.00 E000.46.13.00/N53.04.26.00 W000.44.22.00/N53.06.42.00 W000.46.27.00/N53.10.20.00 W001.20.46.00/N53.28.04.00 W001.38.56.00/N54.15.00.00 W002.10.00.00/N54.15.19.00 W002.08.55.00
31,SCOTTISH AC (PRESTWICK) EAST 1,N53.21.25.00 W002.15.44.00/N53.23.56.00 W001.59.55.00/N53.21.24.00 W001.32.05.00/N53.10.20.00 W001.20.46.00/N52.46.18.00 W000.56.33.00/N52.32.59.00 W001.30.25.00/N52.44.48.00 W001.43.10.00/N52.48.17.00 W001.46.23.00/N53.21.25.00 W002.15.44.00/N52.49.38.00 W001.30.20.00/N52.48.06.00 W000.58.21.00/N52.40.06.00 W001.32.49.00/N52.49.38.00 W001.30.20.00/N52.40.06.00 W001.32.49.00/N52.48.06.00 W000.58.21.00/N52.46.16.00 W000.56.31.00/N52.32.59.00 W001.30.25.00/N52.40.06.00 W001.32.49.00/N53.21.25.00 W002.15.44.00/N52.48.17.00 W001.46.23.00/N52.44.48.00 W001.43.10.00/N52.32.59.00 W001.30.25.00/N52.24.06.00 W001.52.51.00/N52.17.16.00 W002.10.07.00/N52.17.16.00 W002.10.07.00/N52.16.29.00 W002.12.16.00/N52.32.51.00 W002.30.14.00/N52.50.38.00 W002.45.27.00/N53.00.06.00 W002.45.04.00/N53.21.25.00 W002.15.44.00
32,SCOTTISH AC (PRESTWICK),N53.21.25.00 W002.15.44.00/N53.00.06.00 W002.45.04.00/N52.53.18.00 W002.45.34.00/N52.54.19.00 W003.18.39.00/N53.08.12.00 W003.17.36.00/N53.12.26.00 W003.25.36.00/N53.23.18.00 W003.24.49.00/N53.41.25.00 W003.27.34.00/N53.39.10.00 W002.39.52.00/N53.21.25.00 W002.15.44.00
