,icao_designator,callsign_type,frequency
189,EGNJ,FIRE,121.600
190,EGPE,APPROACH,122.605
191,EGPE,APPROACH,122.605
192,EGPE,TOWER,118.405
193,EGPE,TOWER,122.605
194,EGPE,TOWER,122.605
195,EGPE,RADAR,122.605
196,EGPE,INFORMATION,109.200
197,EGPE,FIRE,121.600
198,EGPI,INFORMATION,123.155
199,EGPI,FIRE,121.600
200,EGNS,APPROACH,135.905
201,EGNS,TOWER,119.005
202,EGNS,RADAR,120.855
203,EGNS,RADAR,125.305
204,EGNS,RADAR,135.905
205,EGNS,INFORMATION,123.880
206,EGNS,FIRE,121.600
207,EGJJ,APPROACH,118.555
208,EGJJ,APPROACH,120.305
209,EGJJ,GROUND,121.905
210,EGJJ,TOWER,119.455
211,EGJJ,INFORMATION,134.680
212,EGJJ,FIRE,121.600
213,EGJJ,FIRE,120.450
214,EGJJ,FIRE,125.205
215,EGJJ,FIRE,125.205
216,EGBP,INFORMATION,118.430
217,EGPA,APPROACH,118.305
218,EGPA,TOWER,118.305
219,EGPA,INFORMATION,118.305
220,EGPA,INFORMATION,108.600
221,EGPA,FIRE,121.600
222,EGHC,TOWER,120.255
223,EGHC,FIRE,121.600
224,EGKH,RADIO,122.210
225,EGNM,APPROACH,134.580
226,EGNM,DELIVERY,121.805
227,EGNM,TOWER,120.305
228,EGNM,DIRECTOR,125.380
229,EGNM,RADAR,134.580
230,EGNM,INFORMATION,118.030
231,EGNM,FIRE,121.600
232,EGBG,RADIO,122.130
233,EGET,INFORMATION,125.305
234,EGGP,APPROACH,119.855
235,EGGP,GROUND,121.955
236,EGGP,GROUND,126.355
237,EGGP,TOWER,126.355
238,EGGP,RADAR,118.455
239,EGGP,RADAR,119.855
240,EGGP,INFORMATION,124.330
241,EGGP,FIRE,121.600
242,EGLC,DIRECTOR,132.700
243,EGLC,GROUND,121.830
244,EGLC,TOWER,118.080
245,EGLC,TOWER,129.455
246,EGLC,RADAR,125.625
247,EGLC,DIRECTOR,128.025
248,EGLC,DIRECTOR,132.700
249,EGLC,DIRECTOR,133.455
250,EGLC,INFORMATION,136.355
251,EGLC,INFORMATION,118.080
252,EGLC,FIRE,121.600
253,EGKK,DIRECTOR,118.950
254,EGKK,DIRECTOR,126.825
255,EGKK,DIRECTOR,129.025
256,EGKK,DELIVERY,121.955
257,EGKK,GROUND,121.805
258,EGKK,TOWER,124.230
259,EGKK,TOWER,134.230
260,EGKK,INFORMATION,136.525
261,EGKK,FIRE,121.600
262,EGLL,DIRECTOR,119.730
263,EGLL,DIRECTOR,120.400
264,EGLL,DIRECTOR,127.525
265,EGLL,DIRECTOR,134.980
266,EGLL,DELIVERY,121.980
267,EGLL,GROUND,121.705
268,EGLL,GROUND,121.855
269,EGLL,GROUND,121.905
270,EGLL,TOWER,118.505
271,EGLL,TOWER,118.705
272,EGLL,TOWER,124.475
273,EGLL,RADAR,125.625
274,EGLL,RADAR,125.625
275,EGLL,RADAR,127.525
276,EGLL,INFORMATION,113.750
277,EGLL,INFORMATION,117.000
278,EGLL,INFORMATION,128.080
279,EGLL,INFORMATION,121.935
280,EGLL,FIRE,121.600
281,EGGW,RADAR,129.550
282,EGGW,RADAR,132.050
283,EGGW,RADAR,128.750
284,EGGW,DELIVERY,121.885
285,EGGW,GROUND,121.755
286,EGGW,TOWER,126.725
287,EGGW,TOWER,132.555
288,EGGW,DIRECTOR,128.750
289,EGGW,INFORMATION,120.580
290,EGGW,FIRE,121.600
291,EGSS,RADAR,120.625
292,EGSS,RADAR,132.050
293,EGSS,DELIVERY,121.955
294,EGSS,GROUND,121.730
295,EGSS,TOWER,123.805
296,EGSS,TOWER,125.550
297,EGSS,DIRECTOR,136.200
298,EGSS,INFORMATION,114.550
299,EGSS,INFORMATION,127.180
300,EGSS,INFORMATION,121.916
301,EGSS,INFORMATION,121.555
302,EGSS,FIRE,121.600
303,EGAE,APPROACH,123.625
304,EGAE,TOWER,134.155
305,EGAE,INFORMATION,119.380
306,EGAE,EMERGENCY,121.500
307,EGAE,FIRE,121.600
308,EGMD,APPROACH,120.705
309,EGMD,TOWER,119.380
310,EGMD,INFORMATION,129.230
311,EGMD,FIRE,121.600
312,EGCC,DIRECTOR,121.355
313,EGCC,RADAR,118.580
314,EGCC,RADAR,135.005
315,EGCC,DELIVERY,121.705
316,EGCC,DELIVERY,121.705
317,EGCC,GROUND,121.855
318,EGCC,TOWER,118.630
319,EGCC,TOWER,119.405
320,EGCC,GROUND,121.705
321,EGCC,GROUND,121.705
322,EGCC,INFORMATION,113.550
323,EGCC,INFORMATION,128.180
324,EGCC,INFORMATION,121.980
325,EGCC,FIRE,121.600
326,EGCB,INFORMATION,120.255
327,EGNF,RADIO,123.280
328,EGNT,APPROACH,124.380
329,EGNT,DELIVERY,121.730
330,EGNT,GROUND,121.730
331,EGNT,TOWER,119.705
332,EGNT,DIRECTOR,125.830
333,EGNT,RADAR,124.380
334,EGNT,INFORMATION,118.380
335,EGNT,FIRE,121.600
336,EGHQ,APPROACH,133.405
337,EGHQ,GROUND,121.955
338,EGHQ,TOWER,134.380
339,EGHQ,RADAR,127.930
340,EGHQ,INFORMATION,127.405
341,EGHQ,EMERGENCY,121.500
342,EGHQ,FIRE,121.600
343,EGAD,RADIO,128.305
344,EGBK,INFORMATION,122.705
345,EGSH,APPROACH,119.355
346,EGSH,TOWER,124.255
347,EGSH,DIRECTOR,128.330
348,EGSH,RADAR,119.355
349,EGSH,INFORMATION,128.630
350,EGSH,FIRE,121.600
351,EGBN,RADIO,134.880
352,EGEO,INFORMATION,118.055
353,EGTK,APPROACH,125.090
354,EGTK,GROUND,121.955
355,EGTK,TOWER,133.430
356,EGTK,DIRECTOR,119.980
357,EGTK,RADAR,125.090
358,EGTK,RADAR,136.230
359,EGTK,FIRE,121.600
360,EGPT,RADIO,121.080
361,EGSF,RADIO,129.725
362,EGPK,APPROACH,129.450
363,EGPK,TOWER,118.150
364,EGPK,TOWER,127.155
365,EGPK,RADAR,124.630
366,EGPK,RADAR,129.450
367,EGPK,INFORMATION,121.130
368,EGPK,FIRE,121.600
369,EGKR,TOWER,119.605
370,EGKR,INFORMATION,125.305
371,EGNE,RADIO,130.480
372,EGTO,INFORMATION,122.255
373,EGCF,RADIO,130.415
374,EGHE,APPROACH,124.880
375,EGHE,TOWER,124.880
376,EGHE,FIRE,121.600
377,EGHE,RADIO,124.880
378,EGCJ,RADIO,122.610
379,EGBS,INFORMATION,118.155
380,EGBS,RADIO,118.155
381,EGKA,APPROACH,123.155
382,EGKA,TOWER,123.155
383,EGKA,TOWER,125.405
384,EGKA,INFORMATION,130.980
385,EGKA,RADIO,123.155
386,EGCV,RADIO,122.455
387,EGHI,RADAR,120.230
388,EGHI,RADAR,122.730
389,EGHI,TOWER,118.205
390,EGHI,INFORMATION,130.880
391,EGHI,FIRE,121.600
392,EGMC,APPROACH,130.780
393,EGMC,TOWER,127.730
394,EGMC,DIRECTOR,128.965
395,EGMC,RADAR,130.780
396,EGMC,INFORMATION,136.055
397,EGMC,FIRE,121.600
398,EGMC,EMERGENCY,121.500
399,EGSG,RADIO,122.805
400,EGPO,APPROACH,119.480
401,EGPO,TOWER,119.480
402,EGPO,INFORMATION,119.480
403,EGPO,INFORMATION,115.100
404,EGPO,FIRE,121.600
405,EGPB,TOWER,118.255
406,EGPB,RADAR,123.155
407,EGPB,RADAR,131.300
408,EGPB,INFORMATION,118.255
409,EGPB,INFORMATION,125.855
410,EGPB,FIRE,121.600
411,EGNV,APPROACH,118.855
412,EGNV,TOWER,119.805
413,EGNV,DIRECTOR,128.855
414,EGNV,RADAR,118.855
415,EGNV,INFORMATION,132.380
416,EGNV,FIRE,121.600
417,EGFH,FIRE,121.600
418,EGFH,RADIO,119.705
419,EGBM,RADIO,124.080
420,EGHO,RADIO,118.280
421,EGPU,INFORMATION,122.705
422,EGNO,TOWER,130.805
423,EGNO,RADAR,129.530
424,EGNO,RADAR,129.730
425,EGNO,INFORMATION,121.730
426,EGNO,FIRE,121.600
427,EGBW,INFORMATION,124.030
428,EGCW,RADIO,128.005
429,EGLM,RADIO,122.605
430,EGPC,APPROACH,119.705
431,EGPC,TOWER,119.705
432,EGPC,INFORMATION,119.705
433,EGPC,INFORMATION,113.600
434,EGPC,FIRE,121.600
435,EGNW,RADIO,122.455
436,EGBO,INFORMATION,123.005
437,EGTB,RADIO,126.555
438,EGHG,APPROACH,130.805
439,EGHG,TOWER,125.405
