,icao_designator,verified,location,elevation,name,magnetic_variation
73,EGBN,1,N52.55.12.00 W001.04.45.00,229,NOTTINGHAM,+0.06
74,EGEO,1,N56.27.49.00 W005.24.00.00,269,OBAN,-2.13
75,EGTK,1,N51.50.13.00 W001.19.12.00,296,OXFORD,+0.08
76,EGPT,1,N56.26.28.00 W003.22.26.00,307,PERTH/SCONE,-1.28
77,EGSF,1,N52.28.05.00 W000.15.03.00,223,PETERBOROUGH/CONINGTON,+0.39
78,EGPK,1,N55.30.34.00 W004.35.40.00,273,PRESTWICK,-1.64
79,EGKR,1,N51.12.49.00 W000.08.19.00,311,REDHILL,+0.55
80,EGNE,1,N53.16.50.00 W000.57.05.00,224,RETFORD/GAMSTON,+0.06
81,EGTO,1,N51.21.07.00 E000.30.10.00,193,ROCHESTER,+0.75
82,EGCF,1,N53.33.35.00 W000.51.30.00,261,SANDTOFT,+0.07
83,EGHE,1,N49.54.48.00 W006.17.30.00,207,SCILLY ISLES/ST MARY'S,-1.45
84,EGCJ,1,N53.47.03.00 W001.13.04.00,190,SHERBURN-IN-ELMET,-0.09
85,EGBS,1,N52.14.30.00 W002.52.52.00,212,SHOBDON,-0.52
86,EGKA,1,N50.50.08.00 W000.17.50.00,262,SHOREHAM,+0.53
87,EGCV,1,N52.50.02.00 W002.46.18.00,287,SLEAP,-0.55
88,EGHI,1,N50.57.01.00 W001.21.24.00,304,SOUTHAMPTON,+0.16
89,EGMC,1,N51.34.13.00 E000.41.36.00,239,SOUTHEND,+0.79
90,EGSG,1,N51.39.09.00 E000.09.22.00,225,STAPLEFORD,+0.61
91,EGPO,1,N58.12.56.00 W006.19.52.00,256,STORNOWAY,-2.86
92,EGPB,1,N59.52.53.00 W001.17.38.00,312,SUMBURGH,-0.87
93,EGNV,1,N54.30.33.00 W001.25.46.00,310,TEESSIDE INTERNATIONAL,-0.25
94,EGFH,1,N51.36.18.00 W004.04.05.00,228,SWANSEA,-0.87
95,EGBM,1,N52.48.51.00 W001.45.53.00,309,TATENHILL,-0.18
96,EGHO,1,N51.12.38.00 W001.36.00.00,282,THRUXTON,+0.05
97,EGPU,1,N56.29.57.00 W006.52.09.00,197,TIREE,-2.76
98,EGNO,1,N53.44.42.00 W002.53.00.00,297,WARTON,-0.71
99,EGBW,1,N52.11.32.00 W001.36.52.00,302,WELLESBOURNE MOUNTFORD,-0.06
100,EGCW,1,N52.37.43.00 W003.09.12.00,235,WELSHPOOL,-0.66
101,EGLM,1,N51.30.02.00 W000.46.29.00,252,WHITE WALTHAM,+0.31
102,EGPC,1,N58.27.32.00 W003.05.35.00,260,WICK,-1.47
103,EGNW,1,N53.19.01.00 W000.20.56.00,268,WICKENBY,+0.28
104,EGBO,1,N52.31.04.00 W002.15.35.00,254,WOLVERHAMPTON/HALFPENNY GREEN,-0.32
105,EGTB,1,N51.36.42.00 W000.48.30.00,279,WYCOMBE AIR PARK/BOOKER,+0.28
106,EGHG,1,N50.56.24.00 W002.39.32.00,289,YEOVIL/WESTLAND,-0.29
107,EGLW,0,0,0,LONDON HELIPORT,0
